"","Athlete","Team","Score","Remark","Sex","Form","Group"
"32","IOANA Mihai","ROU","8.77","3RD Prize","M","Other Nanquan Routines -","Group D"
"33","HASIEGANU Victor","ROU","8.74","3RD Prize","M","Other Nanquan Routines -","Group D"
"34","BORGES COUTINHO GALLO Iuri","BRA","8.7","3RD Prize","M","Other Nanquan Routines -","Group D"
"35","CHENG Kei Win","SGP","8.7","3RD Prize","M","Other Nanquan Routines -","Group D"
"36","KAZUO GONÇALVES MIYASAKA KauãN","BRA","8.68","3RD Prize","M","Other Nanquan Routines -","Group D"
"37","SANCHEZ ROCHA Hugo Aurelio","MEX","8.68","3RD Prize","M","Other Nanquan Routines -","Group D"
"38","Cam'Ron Yiu Fung TSANG","GBR","8.67","3RD Prize","M","Other Nanquan Routines -","Group D"
"39","NURMATOV Sherzod","TJK","8.65","","M","Other Nanquan Routines -","Group D"
"40","SIRTO Alessandro","ITA","8.63","","M","Other Nanquan Routines -","Group D"
"41","LAMPADAS Konstantinos","GRC","8.62","","M","Other Nanquan Routines -","Group D"
"42","JALI Khayelihle Goodenough","ZAF","8.6","","M","Other Nanquan Routines -","Group D"
"43","KEYS Aaron Jamaal","USA","8.6","","M","Other Nanquan Routines -","Group D"
"44","ABDULLO-ZODA Fayzullo","TJK","8.57","","M","Other Nanquan Routines -","Group D"
"45","VALIEV Ilyoskhon","TJK","8.55","","M","Other Nanquan Routines -","Group D"
"46","CHOI Alexander Martin","USA","8.54","","M","Other Nanquan Routines -","Group D"
"47","PHAN Van Anh Hao","VNM","7.77","","M","Other Nanquan Routines -","Group D"
"48","Thierno DIBA","SEN","(DNS)","","M","Other Nanquan Routines -","Group D"
"49","SIRTO Elisabetta","ITA","(DNS)","","M","Other Nanquan Routines -","Group D"
"50","MOHAMMAD SHUAIB Ayubi","AFG","(DNS)","","M","Other Nanquan Routines -","Group D"
"51","MOHAMMED Mugahed Mohammed Hussein","YEM","(DNS)","","M","Other Nanquan Routines -","Group D"
"52","SAREER KHAN Zadran","AFG","(DNS)","","M","Other Nanquan Routines -","Group D"
"53","LWZA Bassam Ahmed Ali Rezq","YEM","(DNS)","","M","Other Nanquan Routines -","Group D"
"54","ARAB Nadir","DZA","(DNS)","","M","Other Nanquan Routines -","Group D"
"55","AVAGYAN Artashes","ARM","8.81","1ST Prize","M","Hongjiaquan (Hung Gar)-","Group E"
"56","ANG Boon Seng Royce","SGP","8.76","2ND Prize","M","Hongjiaquan (Hung Gar)-","Group E"
"57","DIMANFA BONGIANNI Marcos","BRA","8.62","3RD Prize","M","Hongjiaquan (Hung Gar)-","Group E"
"58","LEUTZ Richard","BRA","8.61","3RD Prize","M","Hongjiaquan (Hung Gar)-","Group E"
"59","CARRETERO MEDIAVILLA Jose","ESP","8.56","","M","Hongjiaquan (Hung Gar)-","Group E"
"60","CHEUNG Wing Kit","HKG","8.55","","M","Hongjiaquan (Hung Gar)-","Group E"
"61","SIRTO Edoardo Francesco Maria","ITA","8.7","1ST Prize","M","Other Nanquan Routines ","Group E"
"62","TAVARES DE ALMEIDA Sergio","PRT","8.69","2ND Prize","M","Other Nanquan Routines ","Group E"
"63","OLIVEIRA SANTOS Italo Jorge","BRA","8.67","2ND Prize","M","Other Nanquan Routines ","Group E"
"64","LAMPADAS Theodoros","GRC","8.66","3RD Prize","M","Other Nanquan Routines ","Group E"
"65","ZERVAS Chrisovalantis","GRC","8.65","3RD Prize","M","Other Nanquan Routines ","Group E"
"66","ALMEIDA DA SILVA Evandro","BRA","8.63","","M","Other Nanquan Routines ","Group E"
"67","MAKRIS Athanasios","GRC","8.61","","M","Other Nanquan Routines ","Group E"
"68","PAPACHARALAMPOUS Vasileios","GRC","8.58","","M","Other Nanquan Routines ","Group E"
"69","Boubacar SAMBOU","SEN","(DNS)","","M","Other Nanquan Routines ","Group E"
"70","CHEN Zhigang","CHN","8.89","1ST Prize","M","Shaolinquan-","Group E"
"71","OCHI Kenta","JPN","8.84","2ND Prize","M","Shaolinquan-","Group E"
"72","PUZIS Rami","ISR","8.82","2ND Prize","M","Shaolinquan-","Group E"
"73","PANAGOPOULOS Christos","GRC","8.71","2ND Prize","M","Shaolinquan-","Group E"
"74","HERCZEG Andras","HUN","8.71","3RD Prize","M","Shaolinquan-","Group E"
"75","FUKUNISHI Tadashi","JPN","8.66","3RD Prize","M","Shaolinquan-","Group E"
"76","NG Chester Tse King","USA","8.64","3RD Prize","M","Shaolinquan-","Group E"
"77","SMOOK Christiaan Harold","ZAF","8.61","3RD Prize","M","Shaolinquan-","Group E"
"78","HUANACUNI MAMANI Fernando","BOL","8.61","","M","Shaolinquan-","Group E"
"79","KRIGGER DOS SANTOS Rodrigo","BRA","8.6","","M","Shaolinquan-","Group E"
"80","HAMLI Othmane","TUN","8.55","","M","Shaolinquan-","Group E"
"81","IOANA Florin","ROU","8.55","","M","Shaolinquan-","Group E"
"82","JACOBS Bernard Paul","ZAF","8.54","","M","Shaolinquan-","Group E"
"83","Mamadou FALL","SEN","(DNS)","","M","Shaolinquan-","Group E"
"84","BEIBALAYEV Artyom","KAZ","(DNS)","","M","Shaolinquan-","Group E"
"85","MINORU TANOSHI SéRgio","BRA","8.75","1ST Prize","M","Xingyiquan- ","Group E"
"86","RAJA CATALA Vicente","ESP","8.73","2ND Prize","M","Xingyiquan- ","Group E"
"87","TIAN Hongwei","CHN","8.72","3RD Prize","M","Xingyiquan- ","Group E"
"88","CHUCHOLOWSKI Frederic Emanuel","DEU","8.66","3RD Prize","M","Xingyiquan- ","Group E"
"89","FERNANDO Punchividanelage Mahesh Deepal","LKA","8.58","","M","Xingyiquan- ","Group E"
"90","VAN DER MESCHT Thor","ZAF","8.52","","M","Xingyiquan- ","Group E"
"91","JING Xuecai","CHN","8.91","1ST Prize","M","Other Barehand Routines-","Group E"
"92","ZHENG Wu","CHN","8.87","1ST Prize","M","Other Barehand Routines-","Group E"
"93","ALKELANY Farouk Alkelany","EGY","8.74","2ND Prize","M","Other Barehand Routines-","Group E"
"94","COLACO DAVID Daniel Goncalo","PRT","8.73","2ND Prize","M","Other Barehand Routines-","Group E"
"95","MORALES GARCIA Jose Luis","ESP","8.7","2ND Prize","M","Other Barehand Routines-","Group E"
"96","ROMERO Hrod","FRA","8.69","3RD Prize","M","Other Barehand Routines-","Group E"
"97","ESCALANTE PEINADO Ivan Alberto","MEX","8.68","3RD Prize","M","Other Barehand Routines-","Group E"
"98","RODRIGUES DOS REIS Pedro Henrique","BRA","8.68","3RD Prize","M","Other Barehand Routines-","Group E"
"99","JIA Meng","CHN","8.68","3RD Prize","M","Other Barehand Routines-","Group E"
"100","MAK Sherman Shu Hang","AUS","8.68","3RD Prize","M","Other Barehand Routines-","Group E"
"101","MARTINS GONCALVES Marco Antonio","PRT","8.67","","M","Other Barehand Routines-","Group E"
"102","LICHACZ Roman Andrzej","POL","8.66","","M","Other Barehand Routines-","Group E"
"103","GALLARDO GONZALO Ivan","ESP","8.65","","M","Other Barehand Routines-","Group E"
"104","OIE Hidetaro","JPN","8.57","","M","Other Barehand Routines-","Group E"
"105","CHOO Hing How","MYS","8.57","","M","Other Barehand Routines-","Group E"
"106","CHIATOVICH Aaron Joshua","USA","8.5","","M","Other Barehand Routines-","Group E"
"107","LORENSU HEWAGE Nuwan Sanjeewa","LKA","(DNS)","","M","Other Barehand Routines-","Group E"
"108","CHEN Zhigang","CHN","(DNS)","","M","Other Barehand Routines-","Group E"
"109","ZHAO Chuanhui","CHN","8.84","1ST Prize","M","Other Barehand Routines-","Group F"
"110","OTAKA Kazuhiko","JPN","8.7","2ND Prize","M","Other Barehand Routines-","Group F"
"111","KWAN Siew Hung","SGP","8.7","3RD Prize","M","Other Barehand Routines-","Group F"
"112","CHEN Zuobin","CHN","8.66","3RD Prize","M","Other Barehand Routines-","Group F"
"113","DA ROSA Carlos Alberto","BRA","8.62","","M","Other Barehand Routines-","Group F"
"114","HACKNER Allan Jonathan","ZAF","8.61","","M","Other Barehand Routines-","Group F"
"115","LOPATKIN Evgenii","KGZ","8.6","","M","Other Barehand Routines-","Group F"
"116","SEMAEV Oleg","KGZ","(DNS)","","M","Other Barehand Routines-","Group F"
"117","WRINN Benjamin Charles","USA","8.69","1ST Prize","M","Nandao (Southern Broadsword)-","Group C"
"118","PETRAKOVSKIY Denis","KAZ","8.68","2ND Prize","M","Nandao (Southern Broadsword)-","Group C"
"119","KUCUKAKYUZ Kaan","TUR","8.66","3RD Prize","M","Nandao (Southern Broadsword)-","Group C"
"120","SILVA VERA Miguel","ESP","8.6","","M","Nandao (Southern Broadsword)-","Group C"
"121","BAZZARA Mario Faris","ITA","8.57","","M","Nandao (Southern Broadsword)-","Group C"
"122","ABDALLA WAEL Mostafa Abdelkarim","EGY","8.49","","M","Nandao (Southern Broadsword)-","Group C"
"123","XIAN Daniel Haocheng","USA","8.73","1ST Prize","M","Pudao -","Group C"
"124","ANTILLON MALDONADO Cristian Ricardo","MEX","8.69","2ND Prize","M","Pudao -","Group C"
"125","MAKRIS Panagiotis","GRC","8.67","3RD Prize","M","Pudao -","Group C"
"126","ONIANI Giorgi","GEO","8.65","3RD Prize","M","Pudao -","Group C"
"127","BREZETOS Georgios","GRC","8.65","","M","Pudao -","Group C"
"128","BOJORQUEZ LOPEZ Roger","MEX","8.62","","M","Pudao -","Group C"
"129","ADAM AYMAN Morsi Aboelabbas","EGY","8.79","1ST Prize","M","Other Single-weapon Routines-","Group C"
"130","WANG Bryant Xu","USA","8.75","1ST Prize","M","Other Single-weapon Routines-","Group C"
"131","HO Ching Hin","HKG","8.75","2ND Prize","M","Other Single-weapon Routines-","Group C"
"132","VON DEM BRUCH Noah James","USA","8.71","2ND Prize","M","Other Single-weapon Routines-","Group C"
"133","FARR Preston Minghan","USA","8.71","2ND Prize","M","Other Single-weapon Routines-","Group C"
"134","SHEN Justin","USA","8.7","2ND Prize","M","Other Single-weapon Routines-","Group C"
"135","DJUNAIDY Dexton Jax","USA","8.7","3RD Prize","M","Other Single-weapon Routines-","Group C"
"136","PRADO DE MELO Jorge Augusto","BRA","8.63","3RD Prize","M","Other Single-weapon Routines-","Group C"
"137","TURCHIAROLO Gaetano Attilio","ITA","8.63","3RD Prize","M","Other Single-weapon Routines-","Group C"
"138","ZIAD AHMED Samy Mohamed","EGY","8.63","3RD Prize","M","Other Single-weapon Routines-","Group C"
"139","TELESSINOV Arman","KAZ","8.62","3RD Prize","M","Other Single-weapon Routines-","Group C"
"140","CHEONG Io Kei","MAC","8.61","","M","Other Single-weapon Routines-","Group C"
"141","CHEN Zheyu","USA","8.61","","M","Other Single-weapon Routines-","Group C"
"142","MAHMOUD AHMED Abdalla Abdelhalim","EGY","8.6","","M","Other Single-weapon Routines-","Group C"
"143","WITHANAGE Oshan Chalakshana","LKA","8.58","","M","Other Single-weapon Routines-","Group C"
"144","MIU Andrei Eduard","ROU","8.57","","M","Other Single-weapon Routines-","Group C"
"145","KAMPS Darius","DEU","8.55","","M","Other Single-weapon Routines-","Group C"
"146","SEMYESHKIN Konstantin","LVA","8.54","","M","Other Single-weapon Routines-","Group C"
"147","BENSADOUNE Haithem","DZA","(DNS)","","M","Other Single-weapon Routines-","Group C"
"148","YANG Josepha","FRA","9.11","1ST Prize","W","Baguazhang-","Group D"
"149","DISARO Chantal","DEU","8.96","2ND Prize","W","Baguazhang-","Group D"
"150","ABIS Sonia","ITA","8.89","2ND Prize","W","Baguazhang-","Group D"
"151","KRON Yoni Shan Marina","DEU","8.89","3RD Prize","W","Baguazhang-","Group D"
"152","AKYUZ Zeynep Makbule","TUR","8.87","3RD Prize","W","Baguazhang-","Group D"
"153","MEDRANO MENDOZA Yessenia Arizbeth","MEX","8.82","3RD Prize","W","Baguazhang-","Group D"
"154","KOKUMBEK KYZY Eles","KGZ","8.72","","W","Baguazhang-","Group D"
"155","DE LA ROSA LIRA Grace Guadalupe","MEX","8.66","","W","Baguazhang-","Group D"
"156","HEMLI Sirine","TUN","8.65","","W","Baguazhang-","Group D"
"157","FRANCO Luna Magdalena","USA","8.65","","W","Baguazhang-","Group D"
"158","ZHANG Xue","CHN","9.07","1ST Prize","W","Bajiquan-","Group D"
"159","YEUNG Michelle","HKG","8.96","2ND Prize","W","Bajiquan-","Group D"
"160","KRYSKO Alina","UKR","8.87","3RD Prize","W","Bajiquan-","Group D"
"161","LIRA ACOSTA Andrea Sulim","MEX","8.85","3RD Prize","W","Bajiquan-","Group D"
"162","ACOSTA ORTEGA Yuliana Sarahi","MEX","8.7","","W","Bajiquan-","Group D"
"163","Patricia FERNANDES LULIA JACOB","GBR","8.65","","W","Bajiquan-","Group D"
"164","ZHU Ieng Ieng","MAC","8","","W","Bajiquan-","Group D"
"165","AKYUZ Elif","TUR","8.82","2ND Prize","W","Chaquan-","Group D"
"166","HATALOVÁ Hanka","SVK","8.51","3RD Prize","W","Chaquan-","Group D"
"167","ONDROVI?OVÁ Lenka","SVK","8.45","","W","Chaquan-","Group D"
"168","HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe","LKA","8.34","","W","Chaquan-","Group D"
"169","AIT ZERROUK Melissa","DZA","(DNS)","","W","Chaquan-","Group D"
"170","OKUN Carmel","ISR","8.87","1ST Prize","W","Shaolinquan-","Group D"
"171","VIZI Enik?","HUN","8.83","1ST Prize","W","Shaolinquan-","Group D"
"172","PISANI Teresa Aida","ITA","8.82","2ND Prize","W","Shaolinquan-","Group D"
"173","YIM Wing Tung","HKG","8.82","2ND Prize","W","Shaolinquan-","Group D"
"174","KUSPANOVA Dayana","KAZ","8.78","2ND Prize","W","Shaolinquan-","Group D"
"175","TARTUFOLI Alessia","ITA","8.74","2ND Prize","W","Shaolinquan-","Group D"
"176","KOKOLESI Elena","GRC","8.69","3RD Prize","W","Shaolinquan-","Group D"
"177","HORVÁTH Dora Timea","HUN","8.61","3RD Prize","W","Shaolinquan-","Group D"
"178","PANECATL URQUIZA Karen Priscila","MEX","8.6","3RD Prize","W","Shaolinquan-","Group D"
"179","GUEVARA PINEDO Wara Lucero","BOL","8.58","3RD Prize","W","Shaolinquan-","Group D"
"180","KUN Enik?","HUN","8.57","3RD Prize","W","Shaolinquan-","Group D"
"181","ALENCAR RIBEIRO Regina Helena","BRA","8.53","3RD Prize","W","Shaolinquan-","Group D"
"182","Myrsini Chionia CHRISTODOULELLI","GBR","8.52","","W","Shaolinquan-","Group D"
"183","VATZAKA Maria Eleni","GRC","8.49","","W","Shaolinquan-","Group D"
"184","WESTERMAN Megan Ruth","USA","8.49","","W","Shaolinquan-","Group D"
"185","PATTARO DE MENDONÇA Solange","BRA","8.47","","W","Shaolinquan-","Group D"
"186","JACOBS Bianca Candice","ZAF","8.45","","W","Shaolinquan-","Group D"
"187","TREJO ROMAN Liliana","MEX","8.38","","W","Shaolinquan-","Group D"
"188","BAHODUROVA Firuzakhon","TJK","8","","W","Shaolinquan-","Group D"
"189","JACOBS Shannon Stephanie","ZAF","(DNS)","","W","Shaolinquan-","Group D"
"190","DUAN Yuan","CHN","9.25","1ST Prize","W","Other Barehand Routines-","Group D"
"191","CHIRILIUC Anastasia","ISR","9.15","1ST Prize","W","Other Barehand Routines-","Group D"
"192","CHEN Yu","CHN","9.12","1ST Prize","W","Other Barehand Routines-","Group D"
"193","Chong Yaru","CHN","9.1","2ND Prize","W","Other Barehand Routines-","Group D"
"194","DAI Weilong","CHN","9.02","2ND Prize","W","Other Barehand Routines-","Group D"
"195","ZHOU Lin","CHN","9","2ND Prize","W","Other Barehand Routines-","Group D"
"196","WONG Amy Ka-Lai","USA","8.89","2ND Prize","W","Other Barehand Routines-","Group D"
"197","POLTORATSKA Yana","UKR","8.88","2ND Prize","W","Other Barehand Routines-","Group D"
"198","MOVSHOVICH Shelly","ISR","8.86","3RD Prize","W","Other Barehand Routines-","Group D"
"199","DOS SANTOS DE ARAÚJO Raquel","BRA","8.84","3RD Prize","W","Other Barehand Routines-","Group D"
"200","NASCIMENTO CELESTINO GUERREIRO Suelen Cristina","BRA","8.83","3RD Prize","W","Other Barehand Routines-","Group D"
"201","LI Jinsong","CHN","8.83","3RD Prize","W","Other Barehand Routines-","Group D"
"202","SIMON Viktoria","HUN","8.77","3RD Prize","W","Other Barehand Routines-","Group D"
"203","JASMINE TAY Jing Xuan","MYS","8.75","3RD Prize","W","Other Barehand Routines-","Group D"
"204","MALAHOVA Polina","LVA","8.74","3RD Prize","W","Other Barehand Routines-","Group D"
"205","TASHMATOVA Aisalkyn","KGZ","8.6","3RD Prize","W","Other Barehand Routines-","Group D"
"206","GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria","PRT","8.5","","W","Other Barehand Routines-","Group D"
"207","DU PLESSIS Nerine","ZAF","8.46","","W","Other Barehand Routines-","Group D"
"208","NGUYEN Thi Thao Nguyen","VNM","8.43","","W","Other Barehand Routines-","Group D"
"209","JACOBS Shannon Stephanie","ZAF","8.42","","W","Other Barehand Routines-","Group D"
"210","GORDON Ayla Nunnehi","USA","8.32","","W","Other Barehand Routines-","Group D"
"211","Ashleigh Nicola Jade WYKES","GBR","8.32","","W","Other Barehand Routines-","Group D"
"212","DAUNDASEKARA MUDIYANSELAGE Sachari Lanka","LKA","8.29","","W","Other Barehand Routines-","Group D"
"213","OBEANU Mara Georgia Alina","ROU","8.22","","W","Other Barehand Routines-","Group D"
"214","VALAGKOUTI Iro Athina","GRC","8.02","","W","Other Barehand Routines-","Group D"
"215","AMADE GONCALVES Cheila","PRT","7.82","","W","Other Barehand Routines-","Group D"
"216","LE Gia Han","VNM","(DNS)","","W","Other Barehand Routines-","Group D"
"217","KEN Rui Xin","SGP","(DNS)","","W","Other Barehand Routines-","Group D"
"218","YAZYKOVA Maryna","UKR","(DNS)","","W","Other Barehand Routines-","Group D"
"219","HAN Junxia","CHN","8.85","1ST Prize","W","Other Barehand Routines-","Group E/F"
"220","Michele Maki NAKASONE","GBR","8.79","1ST Prize","W","Other Barehand Routines-","Group E/F"
"221","AMIDANI SOARES DE AZEVEDO Paula","BRA","8.76","1ST Prize","W","Other Barehand Routines-","Group E/F"
"222","HUANG Yi","CHN","8.7","1ST Prize","W","Other Barehand Routines-","Group E/F"
"223","ENGEL Beata","POL","8.66","2ND Prize","W","Other Barehand Routines-","Group E/F"
"224","ROMERO Sabine","FRA","8.62","2ND Prize","W","Other Barehand Routines-","Group E/F"
"225","KOKKINAKI Anna","GRC","8.61","2ND Prize","W","Other Barehand Routines-","Group E/F"
"226","MATOS COSTA Mafalda","PRT","8.6","2ND Prize","W","Other Barehand Routines-","Group E/F"
"227","ARUTYUNJAN Maria","HUN","8.6","3RD Prize","W","Other Barehand Routines-","Group E/F"
"228","GAO Lin","USA","8.59","3RD Prize","W","Other Barehand Routines-","Group E/F"
"229","MAK Angela Jia Li","AUS","8.57","3RD Prize","W","Other Barehand Routines-","Group E/F"
"230","RAMOS CANDEIAS Irene Regina","PRT","8.5","3RD Prize","W","Other Barehand Routines-","Group E/F"
"231","SERIAKOVA Liubov","KGZ","8.48","3RD Prize","W","Other Barehand Routines-","Group E/F"
"232","ROVIRA-ALVAREZ Carmen Margarita","USA","8.47","3RD Prize","W","Other Barehand Routines-","Group E/F"
"233","PAK Tatiana","KGZ","8.45","","W","Other Barehand Routines-","Group E/F"
"234","KONSTANTINOU Maria","GRC","8.41","","W","Other Barehand Routines-","Group E/F"
"235","NESHCHERET Natalia","KGZ","8.4","","W","Other Barehand Routines-","Group E/F"
"236","KAZAKOVA Elena","LVA","8.35","","W","Other Barehand Routines-","Group E/F"
"237","PAPADOPOULOU Elisavet","GRC","8.3","","W","Other Barehand Routines-","Group E/F"
"238","HERMANS Rosemary","AUS","8.27","","W","Other Barehand Routines-","Group E/F"
"239","TRAN CONG Francine","FRA","(DNS)","","W","Other Barehand Routines-","Group E/F"
"240","ROMANO CARDOSO SILVESTRE Nina","BRA","(DNS)","","W","Other Barehand Routines-","Group E/F"
"241","MUKHAMETOV Alizhan","KAZ","8.9","1ST Prize","M","Dao (Broadsword)-","Group C"
"242","GERMANOZASHVILI Giorgi","GEO","8.71","1ST Prize","M","Dao (Broadsword)-","Group C"
"243","DE OLIVEIRA PICONE Arthur","BRA","8.7","2ND Prize","M","Dao (Broadsword)-","Group C"
"244","IFARGAN Yuval","ISR","8.68","2ND Prize","M","Dao (Broadsword)-","Group C"
"245","BOROOAH Arhaan","IND","8.66","2ND Prize","M","Dao (Broadsword)-","Group C"
"246","GALVANINE WILLE Heitor","BRA","8.65","3RD Prize","M","Dao (Broadsword)-","Group C"
"247","HUSAK Lukas","CZE","8.63","3RD Prize","M","Dao (Broadsword)-","Group C"
"248","RIVAS RODRIGUEZ Humberto","MEX","8.62","3RD Prize","M","Dao (Broadsword)-","Group C"
"249","TULEYEV Aldiyar","KAZ","8.59","3RD Prize","M","Dao (Broadsword)-","Group C"
"250","TASOPOULOS Ioannis","GRC","8.54","3RD Prize","M","Dao (Broadsword)-","Group C"
"251","KREMMYDAS Panagiotis","GRC","8.5","","M","Dao (Broadsword)-","Group C"
"252","DAYARATHNE Thalagahamula Gedara Kavindu Sahan","LKA","8.5","","M","Dao (Broadsword)-","Group C"
"253","PUZIS Kiril","ISR","8.45","","M","Dao (Broadsword)-","Group C"
"254","PAPATHANASIOU Theodoros Marios","GRC","8.44","","M","Dao (Broadsword)-","Group C"
"255","BERRY Jake Anthony","ZAF","8.17","","M","Dao (Broadsword)-","Group C"
"256","CHEN Charlie Samuel","USA","8.13","","M","Dao (Broadsword)-","Group C"
"257","ADHIKARI MUDIYANSELAGE Keshan Adhikari","LKA","8.13","","M","Dao (Broadsword)-","Group C"
"258","MALEYEV Kirill","KAZ","9.05","1ST Prize","M","Gun (Cudgel/Sta?)-","Group C"
"259","KOUPSTAS Iliya","ISR","8.9","1ST Prize","M","Gun (Cudgel/Sta?)-","Group C"
"260","YOUSSEF OSAMA Abdelhalim Elsaeed","EGY","8.89","1ST Prize","M","Gun (Cudgel/Sta?)-","Group C"
"261","SRNEC Dominik Ramil","SVK","8.87","2ND Prize","M","Gun (Cudgel/Sta?)-","Group C"
"262","KORENC Karel","CZE","8.82","2ND Prize","M","Gun (Cudgel/Sta?)-","Group C"
"263","BRAYTON Marshall Tsan-Wei","USA","8.81","2ND Prize","M","Gun (Cudgel/Sta?)-","Group C"
"264","BROUSALIS Panagiotis","GRC","8.8","2ND Prize","M","Gun (Cudgel/Sta?)-","Group C"
"265","AMMAR MOHAMED Ibrahim Ismail","EGY","8.79","2ND Prize","M","Gun (Cudgel/Sta?)-","Group C"
"266","MARCHESI Giorgio","ITA","8.75","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"267","SPIRO Oliver Sheldon","USA","8.72","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"268","EDILASHVILI Saba","GEO","8.7","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"269","BAI Jiwei","CAN","8.63","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"270","EL MABROUK Rafed","TUN","8.62","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"271","MOHAMED ELAGAMI Abdalla Rashad","EGY","8.62","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"272","DA GAMA BARJA David","PRT","8.58","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"273","MENEZ ALARCON Arhat","MEX","8.5","3RD Prize","M","Gun (Cudgel/Sta?)-","Group C"
"274","ZHANG Jayden Tianyi","CAN","8.5","","M","Gun (Cudgel/Sta?)-","Group C"
"275","DE CIMA FERNANDES Edgar","PRT","8.47","","M","Gun (Cudgel/Sta?)-","Group C"
"276","NUTSUBIDZE Nikolozi","GEO","8.43","","M","Gun (Cudgel/Sta?)-","Group C"
"277","NEDELEA Andrei Mario","ROU","8.42","","M","Gun (Cudgel/Sta?)-","Group C"
"278","SOTHERN Rhyse Kegan","ZAF","8.42","","M","Gun (Cudgel/Sta?)-","Group C"
"279","TRAIZE Miron","KAZ","8.36","","M","Gun (Cudgel/Sta?)-","Group C"
"280","RAINERS Andzans","LVA","8.26","","M","Gun (Cudgel/Sta?)-","Group C"
"281","GUNATUNGA Sapukotanage Maneetha Charanaravinda","LKA","8.2","","M","Gun (Cudgel/Sta?)-","Group C"
"282","MGQIBISA Luvuyolwethu Sphesihle","ZAF","8.02","","M","Gun (Cudgel/Sta?)-","Group C"
